"company_uuid","company_permalink","category"
"0046a8930dfa0e728c5a314e4bc31746","pummelvision-com","Image Recognition"
"0046a8930dfa0e728c5a314e4bc31746","pummelvision-com","Social Media"
"0046a8930dfa0e728c5a314e4bc31746","pummelvision-com","Facebook Applications"
"00496f4813ae6bc30d672c94c396b8a7","biotie-therapies","Biotechnology"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Analytics"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Trading"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Finance"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Finance Technology"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Machine Learning"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Artificial Intelligence"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Data Mining"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","Big Data"
"004a54002048bd3243874b7d3db21dde","pialgo-technologies","FinTech"
"005172e8ec7f43a2823f420ad9aef096","neurovance","Biotechnology"
"0055df9af870032b27d5275881a12245","ubeeko","Big Data Analytics"
"0055df9af870032b27d5275881a12245","ubeeko","Predictive Analytics"
"0055df9af870032b27d5275881a12245","ubeeko","Industrial Automation"
"0055df9af870032b27d5275881a12245","ubeeko","Big Data"
"0055df9af870032b27d5275881a12245","ubeeko","Enterprise Software"
"0055df9af870032b27d5275881a12245","ubeeko","Development Platforms"
"0059ddde8c8e2058f0e4cf9225ab8ae6","suppremol","Biotechnology"
"006008cdbfcc420e8579ebe08964b516","synapsify","Artificial Intelligence"
"006008cdbfcc420e8579ebe08964b516","synapsify","Machine Learning"
"006008cdbfcc420e8579ebe08964b516","synapsify","Predictive Analytics"
"006008cdbfcc420e8579ebe08964b516","synapsify","Semantic Search"
"006008cdbfcc420e8579ebe08964b516","synapsify","Publishing"
"006008cdbfcc420e8579ebe08964b516","synapsify","Social Media"
"006008cdbfcc420e8579ebe08964b516","synapsify","Content Discovery"
"006008cdbfcc420e8579ebe08964b516","synapsify","Ad Targeting"
"0061397b435395387b1b477c457ecebd","semantictool","Data Visualization"
"0061397b435395387b1b477c457ecebd","semantictool","Business Intelligence"
"0061397b435395387b1b477c457ecebd","semantictool","Analytics"
"00668fe0f0b40383ccdfdad9f7b26eae","around-knowledge","Analytics"
"00668fe0f0b40383ccdfdad9f7b26eae","around-knowledge","Real Time"
"00668fe0f0b40383ccdfdad9f7b26eae","around-knowledge","Retail"
"00668fe0f0b40383ccdfdad9f7b26eae","around-knowledge","Software"
"00668fe0f0b40383ccdfdad9f7b26eae","around-knowledge","Mobile"
"00668fe0f0b40383ccdfdad9f7b26eae","around-knowledge","Mobile Software Tools"
"00668fe0f0b40383ccdfdad9f7b26eae","around-knowledge","Wireless"
"006a24cb340bbdd699c391c44d612db9","proofpoint-systems","Software"
"006a24cb340bbdd699c391c44d612db9","proofpoint-systems","Business Intelligence"
"006a24cb340bbdd699c391c44d612db9","proofpoint-systems","Business Services"
"006a24cb340bbdd699c391c44d612db9","proofpoint-systems","Project Management"
"006a24cb340bbdd699c391c44d612db9","proofpoint-systems","Analytics"
"0074c1105dd94af129a7cecd2ae1b86c","heartflow","Biotechnology"
"0074c1105dd94af129a7cecd2ae1b86c","heartflow","Health Diagnostics"
"00771e9e79d39afedf5a1d5f26dd30c8","advanced-biohealing","Biotechnology"
"00778f392a49db9a8aa337c9e89aea89","maindatagroup","Analytics"
"007991711b0821b3f02cb98f1643a8fd","oopsly","Advertising"
"007991711b0821b3f02cb98f1643a8fd","oopsly","Augmented Reality"
"007991711b0821b3f02cb98f1643a8fd","oopsly","Mobile"
"007991711b0821b3f02cb98f1643a8fd","oopsly","Image Recognition"
"007991711b0821b3f02cb98f1643a8fd","oopsly","Discounts"
"0082524051f505c432857276e35f4e0a","micar21","Health Care"
"0082524051f505c432857276e35f4e0a","micar21","Genetic Testing"
"0082524051f505c432857276e35f4e0a","micar21","Healthcare Services"
"0082524051f505c432857276e35f4e0a","micar21","Health Care Information Technology"
"0082524051f505c432857276e35f4e0a","micar21","Biotechnology"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","Software"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","Enterprise Software"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","CRM"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","PaaS"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","Navigation"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","Analytics"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","Monetization"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","Internet"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","E-Commerce"
"00902b3ec12d6e8e7af388cbfc025747","hyperin","Social Media"
"009490374a103d17b9bbfdd81a671835","quinnova-pharmaceuticals","Biotechnology"
"009e8957d102c6746c9c98eb11ac8e32","cardiaq","Biotechnology"
"00a953969e93e381b55779c1161f0c67","oxford-biotherapeutics","Biotechnology"
"00a953969e93e381b55779c1161f0c67","oxford-biotherapeutics","Health Diagnostics"
"00b2fb08ae158cbc6141528b031bcd3b","cuore","Consumer Electronics"
"00b2fb08ae158cbc6141528b031bcd3b","cuore","Computers"
"00b2fb08ae158cbc6141528b031bcd3b","cuore","Operating Systems"
"00b2fb08ae158cbc6141528b031bcd3b","cuore","Big Data Analytics"
"00b478a5e75c17fc2295fd487341e9e3","opus-healthcare-solutions","Biotechnology"
"00b4e341ed414a1aff74722e109e2b0b","infinity-pharmaceuticals","Biotechnology"
"00b87fc94b8522bbe1782f22f1056b49","knoldus-software-llp","Business Services"
"00b87fc94b8522bbe1782f22f1056b49","knoldus-software-llp","Big Data Analytics"
"00b87fc94b8522bbe1782f22f1056b49","knoldus-software-llp","Development Platforms"
"00bb6d80f0750edcbe0a53159eb51721","transcorp","Biotechnology"
"00d31306fec55ead00a7500cb6347e14","expasoft","Big Data Analytics"
"00d31306fec55ead00a7500cb6347e14","expasoft","Information Technology"
"00d31306fec55ead00a7500cb6347e14","expasoft","Services"
"00d4675740d9344a8930bfcc56751f01","jefto","Brand Marketing"
"00d4675740d9344a8930bfcc56751f01","jefto","Analytics"
"00d4675740d9344a8930bfcc56751f01","jefto","Events"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Enterprise Software"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","B2B"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Government Innovation"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Developer APIs"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Contact Management"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Digital Media"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","SaaS"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Content Syndication"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Geospatial"
"00d7b7ae118d9a32cd6c0260231331ef","nau-media-corporation","Social Media Marketing"
"00d87f58af3510609b2ae47bd620c9dd","evalueserve","Marketplaces"
"00d87f58af3510609b2ae47bd620c9dd","evalueserve","Big Data"
"00d87f58af3510609b2ae47bd620c9dd","evalueserve","Analytics"
"00db752612f0e85857d55abb5453ceb6","nakkeb","Big Data"
"00db752612f0e85857d55abb5453ceb6","nakkeb","Data Mining"
"00db752612f0e85857d55abb5453ceb6","nakkeb","Vertical Search"
"00dcf3e7d69170b1fa883d146d02aa1f","helix-biopharma","Biotechnology"
"00de8537f48c92ee47c0000206795ee4","bb-biotech-ag","Professional Services"
"00de8537f48c92ee47c0000206795ee4","bb-biotech-ag","Biotechnology"
"00de8537f48c92ee47c0000206795ee4","bb-biotech-ag","Investment Management"
"00e12273bfa7d0ac25e2c870ab22c474","cell-biosciences","Biotechnology"
"00e576acef157e76641466298553a143","cambridge-research-instrumentation","Biotechnology"
"00ec61bbd2984811c1b4068f28d177db","8villages","Mobile"
"00ec61bbd2984811c1b4068f28d177db","8villages","Internet of Things"
"00ec61bbd2984811c1b4068f28d177db","8villages","Media"
"00ec61bbd2984811c1b4068f28d177db","8villages","Payments"
"00ec61bbd2984811c1b4068f28d177db","8villages","Analytics"
"00ec61bbd2984811c1b4068f28d177db","8villages","SaaS"
"00ec61bbd2984811c1b4068f28d177db","8villages","Social Media"
"00ec61bbd2984811c1b4068f28d177db","8villages","Apps"
"00ec61bbd2984811c1b4068f28d177db","8villages","Big Data"
"00ec61bbd2984811c1b4068f28d177db","8villages","E-Commerce"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Software"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Web Development"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Content"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Project Management"
"00ef51b6188742c1f6ce00daa4da2781","evermede","New Product Development"
"00ef51b6188742c1f6ce00daa4da2781","evermede","SEO"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Social Media"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Business Intelligence"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Technology"
"00ef51b6188742c1f6ce00daa4da2781","evermede","Education"
"00f3fedced2ba47838f3f54bac5fcf7f","imadac-gmbh","Market Research"
"00f3fedced2ba47838f3f54bac5fcf7f","imadac-gmbh","Image Recognition"
"00f6489cbe55df46f7e12628f6f67ae0","nowledgedata","Analytics"
"01012aac255d1f3050a597daf1e6ee88","evgen","Biotechnology"
"0102c610bf15257c9d57e6dfdd4be0e0","bnotions","Software"
"0102c610bf15257c9d57e6dfdd4be0e0","bnotions","Web Development"
"0102c610bf15257c9d57e6dfdd4be0e0","bnotions","Consulting"
"0102c610bf15257c9d57e6dfdd4be0e0","bnotions","Mobile"
"0102c610bf15257c9d57e6dfdd4be0e0","bnotions","Social Media"
"0102c610bf15257c9d57e6dfdd4be0e0","bnotions","Big Data Analytics"
"010a161cea675a08d63c3306756cc0e0","endorphin-me","Enterprise Software"
"010a161cea675a08d63c3306756cc0e0","endorphin-me","Social Search"
"010a161cea675a08d63c3306756cc0e0","endorphin-me","Data Mining"
"01139564e36cb94166428dbe0195b8bd","andara-bi","Software"
"01139564e36cb94166428dbe0195b8bd","andara-bi","Business Intelligence"
"01139564e36cb94166428dbe0195b8bd","andara-bi","iPad"
"0114429eb6521d7a24a38a630c12cf72","dbvu","Analytics"
"0114429eb6521d7a24a38a630c12cf72","dbvu","Databases"
"0114429eb6521d7a24a38a630c12cf72","dbvu","SaaS"
"0114429eb6521d7a24a38a630c12cf72","dbvu","Freemium"
"011ea9bc28af8f3f47f694d1bd3a5406","inovio-pharmaceuticals","Biotechnology"
"011f77054b13bcbcc262be2d7393a93c","novogen","Biotechnology"
"0120f5929340d22dac36f6563aa891f9","idiag","Biotechnology"
"01267dd4edb041894fa09f17542d0ecb","pssc-labs","Analytics"
"01267dd4edb041894fa09f17542d0ecb","pssc-labs","Cloud Computing"
"01284278612b51421ce3f98956bab67b","bioblast-pharma","Biotechnology"
"012cfb856daca5c8703b440678161b73","wilmington-pharmatech","Biotechnology"
"012e039db18c140cd0b96edfb4063e54","cardium-therapeutics","Biotechnology"
"012e039db18c140cd0b96edfb4063e54","cardium-therapeutics","Pharmaceuticals"
"0133e167b2b5b665c76ce2a65203263d","verdezyne","Biotechnology"
"01357c3529c4a0cd228c9ee5d51d99ce","inavtas-mobile-business-intelligence","Software"
"01357c3529c4a0cd228c9ee5d51d99ce","inavtas-mobile-business-intelligence","Business Intelligence"
"01357c3529c4a0cd228c9ee5d51d99ce","inavtas-mobile-business-intelligence","Design"
"01357c3529c4a0cd228c9ee5d51d99ce","inavtas-mobile-business-intelligence","Testing"
"0138012c4472bfc56003934c6c1b13ed","sophia-genetics","Biotechnology"
"014689168c37134139537b58ee83c762","zacharon-pharmaceuticals","Biotechnology"
"014b4a60382b21760bdadb792878053b","datainsight-io-2","Big Data"
"014b4a60382b21760bdadb792878053b","datainsight-io-2","Big Data Analytics"
"014b4a60382b21760bdadb792878053b","datainsight-io-2","Machine Learning"
"014ede38d530a32abf98f8d80f120d87","bladder-health-ventures","Biotechnology"
"01599deda9c73aa750e1a8da45a2f7c0","clevork","Data Visualization"
"01599deda9c73aa750e1a8da45a2f7c0","clevork","Data Integration"
"01599deda9c73aa750e1a8da45a2f7c0","clevork","Optimization"
"0159b37d98036b97bcd7141822d0916c","lithient","SaaS"
"0159b37d98036b97bcd7141822d0916c","lithient","Analytics"
"0159b37d98036b97bcd7141822d0916c","lithient","Mobile Advertising"
"0159b37d98036b97bcd7141822d0916c","lithient","Apps"
"015aebec89bd7645695f7a4e35b58b3b","metascale","Information Technology"
"015aebec89bd7645695f7a4e35b58b3b","metascale","Big Data"
"015aebec89bd7645695f7a4e35b58b3b","metascale","Big Data Analytics"
"015aebec89bd7645695f7a4e35b58b3b","metascale","Data Center Infrastructure"
"0160735333089fa78ff6cc0691d65003","warwick-analytics","Analytics"
"01629d42c710c96f29d1888f45ad2b1a","anaderm-research-corporation","Pharmaceuticals"
"01629d42c710c96f29d1888f45ad2b1a","anaderm-research-corporation","Biotechnology"
"016ac118c063329b937dbd8589117a25","rallyverse","Social Media"
"016ac118c063329b937dbd8589117a25","rallyverse","Social Media Marketing"
"016ac118c063329b937dbd8589117a25","rallyverse","Twitter Applications"
"016ac118c063329b937dbd8589117a25","rallyverse","Content Discovery"
"017330f0e9fbd23c10c661a18c5af918","treasury-intelligence-solutions","Software"
"017330f0e9fbd23c10c661a18c5af918","treasury-intelligence-solutions","Payments"
"017330f0e9fbd23c10c661a18c5af918","treasury-intelligence-solutions","Enterprise Software"
"017330f0e9fbd23c10c661a18c5af918","treasury-intelligence-solutions","Business Intelligence"
"017330f0e9fbd23c10c661a18c5af918","treasury-intelligence-solutions","Cloud Computing"
"017330f0e9fbd23c10c661a18c5af918","treasury-intelligence-solutions","Big Data"
"017330f0e9fbd23c10c661a18c5af918","treasury-intelligence-solutions","SaaS"
"01767029386bfe594375d61e21d90fc3","steelhouse","Advertising"
"01767029386bfe594375d61e21d90fc3","steelhouse","E-Commerce"
"01767029386bfe594375d61e21d90fc3","steelhouse","Retail"
"01767029386bfe594375d61e21d90fc3","steelhouse","Analytics"
"017b84e919a1d6b3a44b76330b9c1d2e","bitext","Software"
"017b84e919a1d6b3a44b76330b9c1d2e","bitext","Text Analytics"
"017b84e919a1d6b3a44b76330b9c1d2e","bitext","Natural Language Processing"
"017b84e919a1d6b3a44b76330b9c1d2e","bitext","Opinions"
"017b84e919a1d6b3a44b76330b9c1d2e","bitext","Advertising"
"017b84e919a1d6b3a44b76330b9c1d2e","bitext","Semantic Search"
"017b84e919a1d6b3a44b76330b9c1d2e","bitext","Developer APIs"
"01842d60a353bd2d97c686997922ef5c","avansera","Analytics"
"01842d60a353bd2d97c686997922ef5c","avansera","Internet Marketing"
"01842d60a353bd2d97c686997922ef5c","avansera","Consumers"
"01842d60a353bd2d97c686997922ef5c","avansera","Predictive Analytics"
"01842d60a353bd2d97c686997922ef5c","avansera","Groceries"
"01842d60a353bd2d97c686997922ef5c","avansera","Retail"
"018c8a7d93824df86a5a76ae2e85af87","highview-healthcare-partners","Biotechnology"
"019a2a66447904f81d2bd59f4778307f","pinota","Mobile"
"019a2a66447904f81d2bd59f4778307f","pinota","Software"
"019a2a66447904f81d2bd59f4778307f","pinota","Image Recognition"
"019a2a66447904f81d2bd59f4778307f","pinota","Video"
"019a2a66447904f81d2bd59f4778307f","pinota","SexTech"
"019d60f3cab6cdf9d71ba64b99885e96","california-institute-for-quantitative-biosciences","Biotechnology"
"019f9f584a6b686f965891a93038ff26","acucela","Biotechnology"
"01a283fabbfefc88b0721082d3d5fc8d","medavail","Biotechnology"
"01a4d6ae31db6bd19bb499f929acdfca","investor-group-services-igs","Impact Investing"
"01a4d6ae31db6bd19bb499f929acdfca","investor-group-services-igs","Investment Management"
"01a4d6ae31db6bd19bb499f929acdfca","investor-group-services-igs","Business Intelligence"
"01aa229455ce4b6032ad6ef7fa21128a","sortex","Outsourcing"
"01aa229455ce4b6032ad6ef7fa21128a","sortex","Web Development"
"01aa229455ce4b6032ad6ef7fa21128a","sortex","Startups"
"01aa229455ce4b6032ad6ef7fa21128a","sortex","SaaS"
"01aa229455ce4b6032ad6ef7fa21128a","sortex","Web CMS"
"01aa229455ce4b6032ad6ef7fa21128a","sortex","Marketing Automation"
"01b2eea469a9076d7a29fbccff5fd129","adtelligence","E-Commerce"
"01b2eea469a9076d7a29fbccff5fd129","adtelligence","Personalization"
"01b2eea469a9076d7a29fbccff5fd129","adtelligence","Machine Learning"
"01b2eea469a9076d7a29fbccff5fd129","adtelligence","Optimization"
"01b2eea469a9076d7a29fbccff5fd129","adtelligence","Reviews and Recommendations"
"01b2eea469a9076d7a29fbccff5fd129","adtelligence","Customer Service"
"01b77f141f889d0ea5a89bc0a896f87f","conference-hound","Analytics"
"01b77f141f889d0ea5a89bc0a896f87f","conference-hound","Vertical Search"
"01b77f141f889d0ea5a89bc0a896f87f","conference-hound","Events"
"01b77f141f889d0ea5a89bc0a896f87f","conference-hound","Ediscovery"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Internet Marketing"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Marketing Automation"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Search Marketing"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Brand Marketing"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Performance Marketing"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Social Media Marketing"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Email Marketing"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Lead Generation"
"01b7bf37026f8fe29e3d99142120d16f","smb-engine","Local Search"
"01c047e4c1ef98ff185f0254f5b13915","hublo","Analytics"
"01c047e4c1ef98ff185f0254f5b13915","hublo","Advertising"
"01c18dd6161824e244032260520357f5","biostevia-sas","Health Care"
"01c18dd6161824e244032260520357f5","biostevia-sas","Biotechnology"
"01c18dd6161824e244032260520357f5","biostevia-sas","Agriculture"
"01c5901b2c695a2fba07397c4dfb5228","quantisense","Software"
"01c5901b2c695a2fba07397c4dfb5228","quantisense","Retail"
"01c5901b2c695a2fba07397c4dfb5228","quantisense","Analytics"
"01c631947e1ee0c64286865c0b73ecfd","helpest-21","Analytics"
"01c631947e1ee0c64286865c0b73ecfd","helpest-21","Medical"
"01c6fd52ad0ec60d60aa0d1e830db408","machinepulse","Data Visualization"
"01c6fd52ad0ec60d60aa0d1e830db408","machinepulse","Big Data Analytics"
"01c6fd52ad0ec60d60aa0d1e830db408","machinepulse","Service Providers"
"01cc7dc518d417affe0455b4b3d2420d","graphimpact","Enterprise Software"
"01cc7dc518d417affe0455b4b3d2420d","graphimpact","Social Media"
"01cc7dc518d417affe0455b4b3d2420d","graphimpact","Sales and Marketing"
"01cc7dc518d417affe0455b4b3d2420d","graphimpact","SaaS"
"01cc7dc518d417affe0455b4b3d2420d","graphimpact","Analytics"
"01cc7dc518d417affe0455b4b3d2420d","graphimpact","CRM"
"01d858efcc7d20789fbdbe286bdebeab","tribe-wearables","Health and Wellness"
"01d858efcc7d20789fbdbe286bdebeab","tribe-wearables","Analytics"
"01d858efcc7d20789fbdbe286bdebeab","tribe-wearables","Fitness"
"01d858efcc7d20789fbdbe286bdebeab","tribe-wearables","Startups"
"01d858efcc7d20789fbdbe286bdebeab","tribe-wearables","Wireless"
"01d858efcc7d20789fbdbe286bdebeab","tribe-wearables","Hardware"
"01da0d1f73158c63199f2946fa02389b","array-biopharma","Biotechnology"
"01e413e64bf87481e1d4a56e25a3286b","revolution-bioengineering","Biotechnology"
"01e4242e7e9923375d2fd8c7858caeef","endobiologics-international","Biotechnology"
"01e42adf3368d49535ec132cce0d11ca","mediafed","News"
"01e42adf3368d49535ec132cce0d11ca","mediafed","Distribution"
"01e42adf3368d49535ec132cce0d11ca","mediafed","Content"
"01e42adf3368d49535ec132cce0d11ca","mediafed","Advertising"
"01e42adf3368d49535ec132cce0d11ca","mediafed","Analytics"
"01e77632e94ca13a184bc2cc4fb6ac02","ncoasource","Analytics"
"01ea5c8da1f0704ce921c569b8b48081","intelescope-solutions","Image Recognition"
"01ea5c8da1f0704ce921c569b8b48081","intelescope-solutions","Analytics"
"01ea5c8da1f0704ce921c569b8b48081","intelescope-solutions","Drones"
"01ea5c8da1f0704ce921c569b8b48081","intelescope-solutions","Geospatial"
"01fb5dd2a8075db996ca51125586256c","art-data-institute","Analytics"
"01fb5dd2a8075db996ca51125586256c","art-data-institute","Design"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Consumers"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Media"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Enterprises"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Education"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Sales and Marketing"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Finance"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Small and Medium Businesses"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Entertainment"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Retail"
"01fe586930459665bf460fd1af531c09","3d-rilbits","Fashion"
"02067d0e4a2d763a21c84745116d5b61","webnetix","Consulting"
"02067d0e4a2d763a21c84745116d5b61","webnetix","Analytics"
"0209f189b89d57e29cfab915da1ff4e2","capptain","Information Technology"
"0209f189b89d57e29cfab915da1ff4e2","capptain","Information Services"
"0209f189b89d57e29cfab915da1ff4e2","capptain","Mobile"
"0209f189b89d57e29cfab915da1ff4e2","capptain","Analytics"
"020cfb72eca0caffeea7bde3a3915646","roche-diagnostics","Biotechnology"
"020cfb72eca0caffeea7bde3a3915646","roche-diagnostics","Health Diagnostics"
"02211dadd6b0e2b5a80d5a4568353ee9","healthcare-corporation-of-america","Biotechnology"
"02238db83c9951ef44a95a9282964b3d","nrgene","Biotechnology"
"0224b436e323571ecb0ce1a7c4573f55","33across","Advertising"
"0224b436e323571ecb0ce1a7c4573f55","33across","Social Network Media"
"0224b436e323571ecb0ce1a7c4573f55","33across","Internet"
"0224b436e323571ecb0ce1a7c4573f55","33across","Advertising Platforms"
"0224b436e323571ecb0ce1a7c4573f55","33across","Social Media Platforms"
"0224b436e323571ecb0ce1a7c4573f55","33across","Content Discovery"
"0224b436e323571ecb0ce1a7c4573f55","33across","Social Media"
"022a3ebcbb4a7a301dbce037cc46d168","hiq-labs","Analytics"
"022a3ebcbb4a7a301dbce037cc46d168","hiq-labs","Enterprises"
"022a3ebcbb4a7a301dbce037cc46d168","hiq-labs","Human Resources"
"022a3ebcbb4a7a301dbce037cc46d168","hiq-labs","Big Data Analytics"
"022a9ea19d63a42683dbd0ed335c84b2","idenix-pharmaceuticals","Biotechnology"
"022a9ea19d63a42683dbd0ed335c84b2","idenix-pharmaceuticals","Health Care"
"022bc34b5a48daa7c66887c4cbafe00a","aims-innovation","Analytics"
"022bc34b5a48daa7c66887c4cbafe00a","aims-innovation","Enterprise Software"
"022bcaf41871046d82dd30bcc1f80105","innovacell","Biotechnology"
"022e9e39e76992297e1ef6bd4e6c0241","kala-pharmaceuticals","Biotechnology"
"0232f333793796944ff5f60ec3a28920","inboundway","Analytics"
"0232f333793796944ff5f60ec3a28920","inboundway","Training"
"0232f333793796944ff5f60ec3a28920","inboundway","Services"
"0236e6f7caa7a0d99a4bf55bac04590f","asturix","Analytics"
"0236e6f7caa7a0d99a4bf55bac04590f","asturix","Software"
"0236e6f7caa7a0d99a4bf55bac04590f","asturix","Internet"
"0236e6f7caa7a0d99a4bf55bac04590f","asturix","Infrastructure"
"0237347d8c2f89e5bb57e1331ecf54a9","the-super-h-index","Natural Language Processing"
"0237347d8c2f89e5bb57e1331ecf54a9","the-super-h-index","Artificial Intelligence"
