"company_uuid","company_permalink","funding_type","series","announced_on","money_raised_usd"
"58e612732716eee5f6726e0370c829b7","3-kinds-of-ice","seed",NA,"2015-01-10",NA
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences","venture","A","2007-05-22",7610000
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences","venture","b","2009-07-10",3e+07
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences","venture",NA,"2012-10-01",8089000
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences","venture","c","2013-06-21",2e+07
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences","venture",NA,"2012-01-05",2e+07
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences","venture","D","2014-12-30",28500000
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences","venture",NA,"2015-03-17",14278567
"e5f2fcdc029f85b92a3b8ce712bbd715","30-digits-gmbh",NA,NA,NA,NA
"9e7645e60a5b089171235dac9c53d1fe","31hex",NA,NA,NA,NA
"95f91af2780f39d5c2c2fc78b8f54d63","32-digital",NA,NA,NA,NA
"0224b436e323571ecb0ce1a7c4573f55","33across","seed",NA,"2009-03-13",750000
"0224b436e323571ecb0ce1a7c4573f55","33across","venture","1","2012-07-19",13100000
"0224b436e323571ecb0ce1a7c4573f55","33across","venture","1","2011-01-05",9e+06
"0224b436e323571ecb0ce1a7c4573f55","33across","venture",NA,"2009-02-06",1520000
"0224b436e323571ecb0ce1a7c4573f55","33across","venture","1","2010-04-22",1284560
"0e81bc57194db638e0c8b58e0f1d290c","36-labs-llc",NA,NA,NA,NA
"fb77c177e885e8c3cc9795aefc31a0e7","360-thinking",NA,NA,NA,NA
"6900f282e87e5b8ef2300130b3dd5f25","360guanxi","venture",NA,"2009-06-01",5e+06
"8ededb53bd71ce12bc9385e0c7c61b71","360imaging","venture","A","2013-01-01",5e+05
"8ededb53bd71ce12bc9385e0c7c61b71","360imaging","venture","A","2011-11-01",5e+05
"760029366523c4cb4f0252b4c93be72a","365-media",NA,NA,NA,NA
"02f44c49453024b3879694551b5ed9a8","3ality-digital",NA,NA,NA,NA
"3cd81f93bfedda6704328c67eeb0e52b","3blades",NA,NA,NA,NA
"4d4c92262e65590f05719dba00a9d702","3ci","grant",NA,"2011-01-01",133620
"aa2a4fb986d22b2c920383ae6fbc9d18","3c-interactive","debt_financing",NA,"2011-03-01",6e+06
"52bd7a269c0f604058498006c0b9e8c3","3claps-the-fastest-baby-fashion","seed",NA,"2015-10-01",NA
"52bd7a269c0f604058498006c0b9e8c3","3claps-the-fastest-baby-fashion","seed",NA,"2015-07-01",NA
"52bd7a269c0f604058498006c0b9e8c3","3claps-the-fastest-baby-fashion","seed",NA,"2015-12-01",NA
"1fe65457b4782fb20d09b2b27e0e20e0","3d-biomatrix","seed",NA,"2013-02-05",1465000
"1fe65457b4782fb20d09b2b27e0e20e0","3d-biomatrix","venture",NA,"2009-10-05",NA
"01fe586930459665bf460fd1af531c09","3d-rilbits",NA,NA,NA,NA
"8650b719cb123b713fd5fd5075b3fe93","3dr-laboratories","venture",NA,"2012-08-23",7200000
"8650b719cb123b713fd5fd5075b3fe93","3dr-laboratories","debt_financing",NA,"2009-05-29",236500
"69a9f2f2cd84695378a745ef1af4aea8","3factorindexing",NA,NA,NA,NA
"d2853fe2ab36f9b7f8a950216d74e10b","3i-infotech",NA,NA,NA,NA
"6a5d16cf5096c90e12884b141854962d","3i-mind",NA,NA,NA,NA
"69f3e121a130bfad3dc2f4f8958080db","3loq-labs",NA,NA,NA,NA
"1844d47ef9a46d7a96a1d552cac271dc","3p-biopharmaceuticals","venture",NA,"2008-02-05",732000
"1844d47ef9a46d7a96a1d552cac271dc","3p-biopharmaceuticals","venture",NA,"2007-06-29",4051500
"93c4b05cf8b69a57e21acc8a3faee068","3q-digital",NA,NA,NA,NA
"b38252921a0e0efcbbcfae8236e69ec1","3radical",NA,NA,NA,NA
"8cd792f9cdf59f44344764dc0d2535d8","3sbio",NA,NA,NA,NA
"846c9f08dcaf730e78b42e998f01a0b3","3scan","grant",NA,"2012-04-23",350000
"846c9f08dcaf730e78b42e998f01a0b3","3scan","seed",NA,"2013-07-16",NA
"846c9f08dcaf730e78b42e998f01a0b3","3scan","seed",NA,"2011-08-31",40000
"846c9f08dcaf730e78b42e998f01a0b3","3scan","venture","1","2014-12-05",6673012
"42d816fe05d6f2511b60c462e9e08d45","405labs","venture",NA,"2014-10-22",81000
"7f376b865d24ec495815015ff08e347b","40nuggets",NA,NA,NA,NA
"f485fd7f5a1b82137fc0de9a33da76d4","42reports",NA,NA,NA,NA
"db06662d20e262b1d886687610293f76","451-degrees",NA,NA,NA,NA
"6c3c21f969cd38dd2962c0262346b014","480-biomedical","venture","a","2012-02-14",1.5e+07
"6c3c21f969cd38dd2962c0262346b014","480-biomedical","debt_financing",NA,"2012-10-30",5e+06
"6c3c21f969cd38dd2962c0262346b014","480-biomedical","venture",NA,"2013-04-12",17956999
"6c3c21f969cd38dd2962c0262346b014","480-biomedical","venture","C","2015-06-01",10500000
"6c3c21f969cd38dd2962c0262346b014","480-biomedical","venture","C","2015-06-19",1200000
"ec98b9555d9facf37d3eb077fb443b6a","484-group",NA,NA,NA,NA
"2ffdea0fc4a1178afe654de1dfd95a29","4c-insights","venture",NA,"2014-01-21",NA
"310235fd88ee87ddd394b71762ba2431","4d-molecular-therapeutics","venture",NA,"2015-08-13",6999995
"5ee3dbe79c739f89974e06a358f77afa","4deep","seed",NA,"2015-11-20",5e+05
"6692945ac4714d5e529af4409826aebc","4diq",NA,NA,NA,NA
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","venture","d","2011-10-27",1.4e+07
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","venture","d","2007-06-01",1e+07
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","venture","c","2005-03-01",8e+06
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","venture","E","2007-10-31",2.5e+08
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","venture",NA,"2009-01-22",2e+07
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","venture",NA,"2013-04-01",4288000
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","venture","e","2013-08-04",8e+06
"a126e1d46a80dfbe73c34dfd8e1c903d","4info","debt_financing",NA,"2014-08-01",6e+06
"085b6df74f48a779c3a7097c8208201b","4pia-inc",NA,NA,NA,NA
"fd602df98bf2c48cedca38e0e9c2fa0b","4quant",NA,NA,NA,NA
"fbc5e49ae38382c3743a595da3105887","4tech","venture",NA,"2015-12-22",26414543
"fbc5e49ae38382c3743a595da3105887","4tech","private_equity",NA,"2011-12-21",7e+06
"0ab1237c963da36d70f2d550d4c97755","4tiitoo","venture",NA,"2015-10-01",NA
"0ab1237c963da36d70f2d550d4c97755","4tiitoo","seed",NA,"2014-08-18",NA
"0ab1237c963da36d70f2d550d4c97755","4tiitoo","angel",NA,"2013-12-10",NA
"0ab1237c963da36d70f2d550d4c97755","4tiitoo","venture","1","2011-11-15",NA
"1e5928f282146dd19ef810d0348f61bf","5-prime-ventures",NA,NA,NA,NA
"3a90bb23d02a1969f61449c6802a2fb1","500-miles","angel",NA,"2015-05-18",NA
"9c314f5f68a0eba81ef2eee8159c61ee","5000fish",NA,NA,NA,NA
"19c7fd1d0eb262839e65156cfc632e01","60east-technologies",NA,NA,NA,NA
"5a123ee08effb9b466222e65ac577dab","6th-man-apps",NA,NA,NA,NA
"fae3964cf719143928f3574c2fce957d","7-billion-people","venture",NA,"2012-07-13",2368902
"fae3964cf719143928f3574c2fce957d","7-billion-people","seed",NA,"2009-02-09",3800000
"fae3964cf719143928f3574c2fce957d","7-billion-people","debt_financing",NA,"2012-06-19",360000
"42bb4dd9e5e9f8a0f54b50ad67f8856e","7-oaks-pharmaceutical","venture",NA,"2011-06-06",1613014
"c046329f9de61659bd9830f55c348662","7-second-strategies",NA,NA,NA,NA
"ff0b305b1df8c8956e8c72b77d4ec077","71lbs","venture",NA,"2013-03-31",1e+05
"ff0b305b1df8c8956e8c72b77d4ec077","71lbs","venture",NA,"2013-01-04",150000
"ff0b305b1df8c8956e8c72b77d4ec077","71lbs","seed",NA,"2012-06-01",75000
"ff0b305b1df8c8956e8c72b77d4ec077","71lbs","angel",NA,"2012-03-20",NA
"ff0b305b1df8c8956e8c72b77d4ec077","71lbs","seed",NA,"2013-01-08",75000
"ff0b305b1df8c8956e8c72b77d4ec077","71lbs","angel",NA,"2014-06-08",2e+06
"4a99b63beb0981f39cd201483a420148","you-us-capital",NA,NA,NA,NA
"0738d50cf89f320eb79858ea1f89ae63","720","seed",NA,"2014-10-23",190035
"9019e4374d09adf10e60a15e136521ab","7park-data","venture","A","2015-08-26",3e+06
"e169629e653ceb9f1e7e6556b0905df9","7puentes",NA,NA,NA,NA
"89000d277cc2de683881e60c6741e606","7segments",NA,NA,NA,NA
"09b2f5e41191beed610dd6f4b3d0d096","7sheep",NA,NA,NA,NA
"56d0c3e2dba48c914fdaf27795048690","7tm-pharma","venture","D","2007-06-12",2.2e+07
"5b9ebe489ad200aafd7730a5662ca0b1","89-degrees",NA,NA,NA,NA
"e765a76951e709228726206ed72d41f4","8bit-2","seed",NA,"2014-02-01",30000
"e765a76951e709228726206ed72d41f4","8bit-2","seed",NA,"2014-07-01",110000
"2f378cad9cab1af893a27d668cf3e43d","8digits","seed",NA,"2012-06-01",NA
"2f378cad9cab1af893a27d668cf3e43d","8digits","venture","1","2013-11-28",NA
"00ec61bbd2984811c1b4068f28d177db","8villages","convertible_note",NA,"2013-12-01",150000
"4d73ea531f6989bb52ad83d6f0a232a1","90-degree-software",NA,NA,NA,NA
"35a0d5956e8919271c92d0aede6a25ff","904labs",NA,NA,NA,NA
"281b5a1ba00779d7faf3382360f0d05c","945signals",NA,NA,NA,NA
"fff3af3232446747c95f5954c594785e","97th-floor",NA,NA,NA,NA
"25ac973a5cdabf4e5860b31837f8909d","99jobs","seed",NA,"2013-06-01",NA
"6bc561378db5ada63dab019f9f52788e","apollotech",NA,NA,NA,NA
"1807d7a0d92e012be080d9c13fafaaf0","a-plus-id",NA,NA,NA,NA
"f8d482a7e15e9150405d8a4e7192799f","a-life-medical","venture",NA,"2009-06-03",3e+06
"315d6990c9e1a6cba5acc8d56944a9a5","a-p-pharma","venture",NA,"2011-07-11",24000001
"315d6990c9e1a6cba5acc8d56944a9a5","a-p-pharma","venture",NA,"2009-11-05",8142817
"2fad9eba683c56401597b828020197e9","a-r-i-flow-control-accessories",NA,NA,NA,NA
"580e78cb4ddb2ea94be0dceba1390a22","a-b-test-master",NA,NA,NA,NA
"0726b210bce34b79a4fc23133e4ef4f0","a-g-pharmaceutical","venture","a","2005-09-08",2e+06
"0726b210bce34b79a4fc23133e4ef4f0","a-g-pharmaceutical","venture",NA,"2010-04-27",100002
"54dc3ed4832439dedbba34c642fa3456","a3logics-india-limited",NA,NA,NA,NA
"45cf2fdf16d5a19892c95ba237890754","a4-data-technology-inc","angel",NA,"2013-05-01",NA
"45cf2fdf16d5a19892c95ba237890754","a4-data-technology-inc","debt_financing",NA,"2014-01-01",NA
"cc1d410533535777ad3497b091205897","a6-corporation",NA,NA,NA,NA
"3b100f2bec2d58eff1d64387dbdc783a","aaipharma-services","private_equity",NA,"2012-01-11",2e+07
"224a2bd586e4df87c2ecb0ceae15c109","aalto-helsinki",NA,NA,NA,NA
"97b90643e4bdffb04a07f047682e8f81","aarden-pharmaceuticals","seed",NA,"2011-01-03",5e+05
"d6bde457d6708a42b2564ae479078e1f","aarkstore",NA,NA,NA,NA
"a254ff609de91a9b237814066ca17ae5","aastrom-biosciences","venture",NA,"2012-03-09",4e+07
"29f67a20390432091061172abf05757d","ab-tasty","seed",NA,"2014-09-23",1412834
"44df7b0ec8626af3e776ab8df6a7718f","ab2-bio","venture","B","2016-01-14",20918418.1691
"af921816106a0d34dc62ec2c0117ab69","abacast-inc","venture",NA,"2010-11-11",5e+05
"565f1a0d5f3a4587e6f3a464801f52ae","abate-solutions",NA,NA,NA,NA
"4a9bae150ebb050fd50d95b101998cd9","abattis-bioceuticals","venture",NA,"2014-04-07",83709
"4a9bae150ebb050fd50d95b101998cd9","abattis-bioceuticals","venture",NA,"2010-11-03",297265
"4a9bae150ebb050fd50d95b101998cd9","abattis-bioceuticals","seed",NA,"2012-03-21",20014
"806757759ef1d3c7c1c91cf8a0f74388","abbott-labboratories",NA,NA,NA,NA
"2e1af00d10be49582cde8c7d2566b52f","abbott","debt_financing",NA,"2009-03-16",6690000
"2e1af00d10be49582cde8c7d2566b52f","abbott","debt_financing",NA,"2011-03-15",1e+05
"ee82b5db06eb97f97d6d988606a471de","abbvie",NA,NA,NA,NA
"91b0b3d99b63065ddb8b8b58cb74b7ae","abcam","venture",NA,"2011-06-08",1800000
"91b0b3d99b63065ddb8b8b58cb74b7ae","abcam","private_equity",NA,"2012-04-27",76999653
"4ca1fc7127e520ed789a378279669da2","abcelex-technologies","venture","A","2014-04-28",2e+06
"fbf4912f1ddd10b550c58e8db67915d6","abcellute","undisclosed",NA,"2007-09-21",805908
"506c80c43e50776644e9332854d2b29e","abcodia","undisclosed",NA,"2011-05-25",1622347
"506c80c43e50776644e9332854d2b29e","abcodia","venture",NA,"2014-02-26",166681
"506c80c43e50776644e9332854d2b29e","abcodia","venture",NA,"2014-11-05",159810
"506c80c43e50776644e9332854d2b29e","abcodia","venture","1","2015-05-18",8259067
"9403e67301501655f771a4021b8c5b71","abcro",NA,NA,NA,NA
"0be9c27e18c925aa639e9951ba2a71c1","abd-serotec",NA,NA,NA,NA
"5c20b9de28f864bce09cb463d7988076","abeja-inc-","angel",NA,"2013-09-25",NA
"5c20b9de28f864bce09cb463d7988076","abeja-inc-","seed",NA,"2014-07-11",NA
"5c20b9de28f864bce09cb463d7988076","abeja-inc-","venture","1","2014-12-04",NA
"aa4e648063f8760913f2dfee6c44ba71","abeona-therapeutics","seed",NA,"2013-12-16",750000
"aa4e648063f8760913f2dfee6c44ba71","abeona-therapeutics","venture",NA,"2014-12-01",3600000
"aa4e648063f8760913f2dfee6c44ba71","abeona-therapeutics","venture",NA,"2015-07-28",8500000
"8123cf641bf6e134aede7592d94b298f","abfrontier",NA,NA,NA,NA
"6a6a591f84deb2eca0a52042ef464a62","abgenomics","venture","a","2012-06-19",16850000
"6a6a591f84deb2eca0a52042ef464a62","abgenomics","venture","B","2013-07-18",9600000
"6a6a591f84deb2eca0a52042ef464a62","abgenomics","venture","C","2014-08-27",13160000
"6bf0ac6de7951d9dc0749b39a1fc2072","abi-research",NA,NA,NA,NA
"5ebcd036ba80f04a897d1e827c7b9e9a","abiba-systems",NA,NA,NA,NA
"7f51bbbd1719ca6306a9725496d95795","abide-therapeutics","seed",NA,"2011-11-18",2250180
"140ad45fb1d935479317c61e0f82f16f","abilis-solutions",NA,NA,NA,NA
"a28c7a01e63e27b5c13007d74ca86118","abiobot","seed",NA,"2015-02-03",50000
"f105d51bb97602284a01b22f1f2d4060","abionic","venture","B","2014-10-14",3986362
"75e3454ba314d158b79d037787d9c282","abiotic-technologies",NA,NA,NA,NA
"7e823b17d780c376c448ed70a15d1eed","abivax",NA,NA,NA,NA
"f2fe88848821711d6b2edb5bc670624b","abivin",NA,NA,NA,NA
"a31d4b4e74d2aeda957f2f9c38a597ed","abizinabox","seed",NA,"2008-10-08",5e+05
"6028514066f84539b42f2ed4a502beeb","ablative-solutions","venture",NA,"2015-11-12",2460000
"6028514066f84539b42f2ed4a502beeb","ablative-solutions","debt_financing",NA,"2013-03-26",8e+06
"6028514066f84539b42f2ed4a502beeb","ablative-solutions","venture","1","2014-02-04",9575077
"6028514066f84539b42f2ed4a502beeb","ablative-solutions","seed",NA,"2012-01-04",5000
"6028514066f84539b42f2ed4a502beeb","ablative-solutions","venture","1","2012-06-19",5300000
"6028514066f84539b42f2ed4a502beeb","ablative-solutions","debt_financing",NA,"2012-03-29",3050500
"6028514066f84539b42f2ed4a502beeb","ablative-solutions","venture",NA,"2015-01-12",14590000
"e85b80abd867aa0f5f6394f81c10c0bf","ablexis","venture","a","2010-06-04",1.2e+07
"5b640e48766d05331018e76c93ef418a","ablynx","post_ipo_equity",NA,"2013-02-28",41356350
"5b640e48766d05331018e76c93ef418a","ablynx","post_ipo_equity",NA,"2014-06-30",56972661
"5b640e48766d05331018e76c93ef418a","ablynx","grant",NA,"2014-08-13",2808275
"5b640e48766d05331018e76c93ef418a","ablynx","venture","1","2004-04-06",3e+07
"5b640e48766d05331018e76c93ef418a","ablynx","venture",NA,"2002-09-25",4898950
"5b640e48766d05331018e76c93ef418a","ablynx","venture","1","2006-08-23",5e+07
"db8eae08d06d23fc0a252f542dcd66f2","aboutmystar","seed",NA,"2011-09-15",275166
"55c761f90242e50d2de96586a16231d7","aboutourwork-com","seed",NA,"2014-04-20",NA
"9ed5048a19c0da35fbd58c07481d314c","aboutplace",NA,NA,NA,NA
"e4154dbf293932e39c860ab00c22644e","above-labs",NA,NA,NA,NA
"2ed313239717b28c756d8f6771710838","abpro",NA,NA,NA,NA
"f74f6beb6dce7888124b2d199ea6565b","abr-affinity-bioreagents",NA,NA,NA,NA
"1a36a6e1120a61bcefd8cb729e08b16b","abraresto","seed",NA,"2014-01-29",1500000
"a3a547b6437cf7ea1aa6201e9d652e9f","abraxis-bioscience",NA,NA,NA,NA
"6816180229a749d9895e5b5c469eb4e6","abreos-biosciences","debt_financing",NA,"2015-03-18",175000
"de3491c5a891f3d338f42548096d0970","absolutdata","venture",NA,"2012-08-23",2e+07
"098697998b2deb844e12d80ee7f316b4","absolute-software-gmbh",NA,NA,NA,NA
"98fe7634ec905913299b3ab50951774e","absorption-pharmaceuticals","venture",NA,"2014-02-14",1200000
"0b579f434b03f7daaa1a462ff54506d3","absynth-biologics","seed",NA,"2015-11-30",375838.119
"0b579f434b03f7daaa1a462ff54506d3","absynth-biologics","seed",NA,"2013-07-18",1287963
"03cfad3caee51e9433d503ddc3379cc5","abzena","post_ipo_equity",NA,"2015-11-24",30339345.5803
"03cfad3caee51e9433d503ddc3379cc5","abzena","post_ipo_equity",NA,"2014-07-07",34300806
"c24078c7d8d4820f9ca6a727abada7cd","ac-immune-sa","venture","B","2005-05-12",17270000
"c24078c7d8d4820f9ca6a727abada7cd","ac-immune-sa","venture","d","2014-01-09",22009460
"b8a37f17d93d18ba0c228bf24b7a1630","acacia-pharma","venture","b","2013-09-03",23500000
"b8a37f17d93d18ba0c228bf24b7a1630","acacia-pharma","venture","a","2011-03-31",1e+07
"f4f8e05c58153fbb6e84067546ccd442","acadia-pharmaceuticals","venture",NA,"2011-01-11",1.5e+07
"f4f8e05c58153fbb6e84067546ccd442","acadia-pharmaceuticals","private_equity",NA,"2013-01-02",86385000
"a5cd7776ffffba86d43696894e20c6c7","acambis",NA,NA,NA,NA
"3fa403060689a9a561022b0ac3958220","acambis-plc",NA,NA,NA,NA
"7cf324bba40e99f8b646292d2e8dbe1f","beijing-accb-biotech-ltd","venture","D","2011-05-01",770416
"7cf324bba40e99f8b646292d2e8dbe1f","beijing-accb-biotech-ltd","venture","B","2006-11-01",NA
"7cf324bba40e99f8b646292d2e8dbe1f","beijing-accb-biotech-ltd","venture","A","2005-12-01",NA
"2081557b965a77f0aa97023b3f6ef7c9","accelalox","debt_financing",NA,"2009-10-10",430000
"eab7cf78bb55525d02d64a338f4eb9a6","accelerated-vision-group","venture",NA,"2013-10-25",2500000
"eab7cf78bb55525d02d64a338f4eb9a6","accelerated-vision-group","venture","1","2012-05-21",6e+06
"62dfc3f3f5d078044e93ee0ee735a5f6","accelerator-capital",NA,NA,NA,NA
"f82ce7e4494dafc6a32fee0a8e84366c","accelero-bioanalytics",NA,NA,NA,NA
"0fe5e7d398d0a322328623500fa52590","acceleron-pharma","grant",NA,"2011-01-06",1500000
"0fe5e7d398d0a322328623500fa52590","acceleron-pharma","venture","1","2006-08-02",3e+07
"0fe5e7d398d0a322328623500fa52590","acceleron-pharma","venture",NA,"2009-12-15",10951121
"0fe5e7d398d0a322328623500fa52590","acceleron-pharma","venture","1","2011-12-23",3e+07
"0fe5e7d398d0a322328623500fa52590","acceleron-pharma","venture","1","2007-10-01",3.1e+07
"0fe5e7d398d0a322328623500fa52590","acceleron-pharma","venture",NA,"2010-06-10",10250006
"3450e0b8777d1333a19bf277a908e3b8","accelio-corporation",NA,NA,NA,NA
"ac77fed7056829edd27526a3e8944944","accelops","venture","a","2007-10-01",7e+06
"ac77fed7056829edd27526a3e8944944","accelops","venture","b","2012-05-01",1.8e+07
"143f1d6961581389a68360488c16b0e3","accentia-biopharmaceuticals-inc","venture",NA,"2012-02-08",4e+05
"143f1d6961581389a68360488c16b0e3","accentia-biopharmaceuticals-inc","venture",NA,"2013-06-25",375000
"3210cdf21434d83dfdaa8dd287496a96","accentix",NA,NA,NA,NA
"6bbf40107469ab6cd3ed66db9940e358","acceptys",NA,NA,NA,NA
"65e01dc62d0e0d99ac1e2b11fa4852a1","accera","venture","a","2004-09-16",6e+06
"65e01dc62d0e0d99ac1e2b11fa4852a1","accera","venture","b","2006-08-16",7500000
"65e01dc62d0e0d99ac1e2b11fa4852a1","accera","venture","d","2011-01-03",1.1e+07
"65e01dc62d0e0d99ac1e2b11fa4852a1","accera","private_equity",NA,"2013-10-25",79081610
"65e01dc62d0e0d99ac1e2b11fa4852a1","accera","venture","c","2008-11-12",3.5e+07
"ae331822c3b710e8d89b3afcb3540b4a","accern","angel",NA,"2016-01-01",NA
"9cd7cbfc731990f990287696cdc431c0","accertify","venture","a","2008-06-03",4e+06
"9cd7cbfc731990f990287696cdc431c0","accertify","venture",NA,"2010-05-04",7e+05
"9cd7cbfc731990f990287696cdc431c0","accertify","venture","b","2009-06-06",2431124
"9f5a6d7d318f1458a7147238d485ce88","prelytis",NA,NA,NA,NA
"fa89e3db08410cc02706c880575c91dd","access-marketing-company",NA,NA,NA,NA
"8dddb73ea3237af97b24c72980a2ff0b","access-pharmaceuticals","venture",NA,"2011-11-14",5581502
"8dddb73ea3237af97b24c72980a2ff0b","access-pharmaceuticals","venture","1","2012-11-06",1e+07
"d6ef188331de893f9022e60728cafb87","access-psychiatry-solutions","venture",NA,"2011-05-20",250000
"c456384255e268053c6de37c27e8844d","accessbio","venture",NA,"2011-05-25",1.2e+07
"1c6346390e5389ca1fc86f427cc2a97a","accessfuel",NA,NA,NA,NA
"d8b2f6ff71d7fbaf32be774a3c543615","accesto-internet-software-house",NA,NA,NA,NA
"afae084cdfaa472a9ff9d653372c4c4f","accion-labs",NA,NA,NA,NA
"037ea3d6b0dc64ea6a889ade5174f9d2","accipiter-systems","venture",NA,"2014-01-02",250920
